year,month,day,address,category,description
2022,10,28,"25 HARBORD STREET, TORONTO",POLICE INFORMATION,REPORT OF UNAUTHORIZED POSTERS BEING DISPLAYED.
2022,10,28,"55 ST. GEORGE STERET, TORONTO",POLICE INFORMATION,REPORT OF POSTERS BEING DISPLAYED WITHOUT AUTHORIZATION.
2022,10,28,"107 ST. GEORGE STREET, TORONTO",PERSON WELL-BEING CHECK,REPORT OF A CONCERN FOR A PERSONS WELL-BEING; PARTY WAS ABLE TO CARE FOR THEMSELVES.
2022,10,28,"40 ST. GEORGE STREET, TORONTO",SUSPICIOUS INCIDENT,REPORT OF A SUSPICIOUS INCIDENT; ALL IN ORDER.
2022,10,27,"27 KING'S COLLEGE CIRCLE, TORONTO",PROTEST,REPORT OF A PROTEST.
2022,10,27,"144 COLLEGE STREET, TORONTO",MOTOR VEHICLE COLLISION,REPORT OF A MOTOR VEHICLE COLLISION INVOLVING PERSONAL INJURY.
2022,10,27,"79 ST. GEORGE STREET, TORONTO",PROPERTY DAMAGE,REPORT OF PROPERTY DAMAGE; NOT CRIMINAL IN NATURE.
2022,10,27,"7 HART HOUSE CIRCLE, TORONTO",PROTEST,REPORT OF A PEACEFUL PROTEST.
2022,10,27,"78 QUEEN'S PARK, TORONTO",PROTEST,REPORT OF A PROTEST.  ALL IN ORDER.
2022,10,27,"130 ST. GEORGE STREET, TORONTO",THEFT,REPORT OF A BICYCLE THEFT.
2022,10,27,OFF CAMPUS,SUSPICIOUS PERSON,REPORT OF A PERSON FOLLOWING THEM.
2022,10,27,"35 ST. GEORGE STREET, TORONTO",THEFT,REPORT OF A THEFT OF A SCOOTER.
2022,10,27,"213 HURON STREET, TORONTO",SUSPICIOUS PERSON,REPORT OF A SUSPICIOUS PERSON; ALL IN ORDER.
2022,10,27,"41 WILLCOCKS STREET, TORONTO",MEDICAL,REPORT OF A PERSON REQUIRING MEDICAL AID; PARTY TRANSPORTED TO HOSPITAL BY PARAMEDICS.
2022,10,27,"7 HART HOUSE CIRCLE, TORONTO",THEFT,REPORT OF A WALLET THEFT.
2022,10,27,"71 PRINCE ARTHUR AVENUE, TORONTO",UNWANTED PERSON,REPORT OF AN UNWANTED PERSON; PARTY LEFT PRIOR TO OFFICERS ARRIVAL.
2022,10,27,"100 ST. GOERGE STREET, TORONTO",PROTEST,REPORT OF A SCHEDULED PROTEST.
2022,10,27,"255 HURON STREET, TORONTO",THEFT,REPORT OF A BICYCLE THEFT.
2022,10,27,"130 ST. GEORGE STREET, TORONTO",POLICE INFORMATION,REPORT OF A SUSPICIOUS INCIDENT.
2022,10,26,"10 KING'S COLLEGE ROAD, TORONTO",DISTURBANCE,REPORT OF A DISTURBANCE; ALL IN ORDER.
2022,10,26,"21 SUSSEX AVENUE, TORONTO",FRAUD,REPORT OF AN ATTEMPTED JOB SCAM; NO FUNDS TRANSFERRED.
2022,10,26,"89 CHESTNUT STREET, TORONTO",POLICE ASSISTANCE,REPORT OF POLICE ASSISTANCE; ALL IN ORDER.
2022,10,26,"1 KING'S COLLEGE CIRCLE, TORONTO",MEDICAL,REPORT OF A PERSON REQUIRING MEDICAL AID.  PERSON TRANSPORTED TO HOSPITAL BY PARAMEDICS.
2022,10,26,"21 SUSSEX AVENUE, TORONTO",POLICE INFORMATION,PERSON REPORTED SUSPICIOUS E-MAIL.
2022,10,25,"35 CHARLES STREET WEST, TORONTO",SUSPICIOUS PACKAGE,REPORT OF A SUSPICIOUS PACKAGE; ALL IN ORDER.
2022,10,25,"85 ST. GEORGE STREET, TORONTO",BYLAW,REPORT OF AN ANIMAL COMPLAINT.
2022,10,25,"60 HARBORD STREET, TORONTO",MEDICAL,REPORT OF AN INJURED CYCLIST; PARTY TRANSPORTED TO HOSPITAL BY PARAMEDICS.
2022,10,25,"40 ST. GEORGE STREET, TORONTO",UNWANTED PERSON,REPORT OF AN UNWANTED PERSON; PARTY WAS GONE PRIOR TO OFFICERS ARRIVAL.
2022,10,25,"222 COLLEGE STREET, TORONTO",UNWANTED PERSON,REPORT OF AN UNWANTED PERSON; PARTY LEFT WITHOUT INCIDENT.
2022,10,25,"100 ST. GEORGE STREET, TORONTO",POLICE INFORMATION,REPORT OF ANTI-VAX SIGNAGE.
2022,10,25,"7 HART HOUSE CIRCLE, TORONTO",MEDICAL,PERSON REQUIRING MEDICAL AID; PARTY WAS TRANSPORTED TO HOSPITAL BY PARAMEDICS.
2022,10,25,"107 ST. GEORGE STREET, TORONTO",MISCHIEF,REPORT OF MISCHIEF; NOT GANG OR HATE RELATED.
2022,10,25,"1 SPADINA CRESCENT, TORONTO",SUSPICOUS PERSON,REPORT OF A SUSPICIOUS PERSON IN THE BUILDING; ALL IN ORDER
2022,10,25,"55 ST. GEORGE STREET, TORONTO",THEFT,REPORT OF A THEFT OF LAPTOP.
2022,10,25,"21 SUSSEX AVENUE, TORONTO",PERSON WELL-BEING CHECK,CONCERN FOR A PERSONS WELL-BEING; ALL IN ORDER.
2022,10,25,"107 ST. GEORGE STREET, TORONTO",MISCHIEF,REPORT OF MISCHIEF.
2022,10,25,"40 ST. GEORGE STREET, TORONTO",VOYEURISM,REPORT OF VOYEURISM.
2022,10,25,"7 HART HOUSE CIRCLE, TORONTO",THEFT,REPORT OF A THEFT; UNCONFIRMED.
2022,10,25,OFF CAMPUS,FRAUD,REPORT OF A POTENTIAL FRAUD; OFF CAMPUS INCIDENT INVESTIGATED BY HALTON REGIONAL POLICE SERVICE.
2022,10,25,"90 WELLESLEY STREET WEST, TORONTO",MEDICAL,REPORT OF A PERSON REQUIRING MEDICAL AID; PARTY TRANSPORTED TO HOSPITAL BY PARAMEDICS.
2022,10,25,"35 CHARLES STREET WEST, TORONTO",ASSAULT,REPORT OF AN ASSAULT; NO INJURIES.
2022,10,25,"1 SPADINA CRESCENT, TORONTO",THEFT,REPORT OF A BICYCLE THEFT.
2022,10,25,"10 KING'S COLLEGE ROAD, TORONTO",DISTURBANCE,REPORT OF A DISTURBANCE; ALL IN ORDER.
2022,10,25,"7 HART HOUSE CIRCLE, TORONTO",SUSPICIOUS PERSON,REPORT OF A SUSPICIOUS PERSON; ALL IN ORDER.
2022,10,25,"105 ST. GEORGE STREET, TORONTO",MISCHIEF,REPORT OF MISCHIEF.
2022,10,24,"27 KING'S COLLEGE CIRCLE, TORONTO",THEFT,REPORT OF A BICYCLE THEFT.
2022,10,24,"BLOOR STREET WEST AND ST. GEORGE STREET, TORONTO",ASSAULT,REPORT OF AN UNPROVOKED ASSAULT.
2022,10,24,"75 QUEEN'S PARK, TORONTO",MISCHIEF,REPORT OF MISCHIEF (BROKEN WINDOW); NO ENTRY GAINED.
2022,10,24,"321 BLOOR STREET WEST, TORONTO",MEDICAL,TORONTO PARAMEDICS TRANSPORTED PERSON TO HOSPITAL.
2022,10,24,"107 ST. GEORGE STREET, TORONTO",PERSON WELL-BEING CHECK,OFFICERS PERFORMED A WELL-BEING CHECK; PARTY WAS ABLE TO CARE FOR THEMSELVES.
2022,10,24,"100 ST. GEORGE STREET, TORONTO",DISTURBANCE,REPORT OF A DISTURBANCE; ALL IN ORDER.
2022,10,24,"81 ST. MARY STREET, TORONTO",THEFT,REPORT OF A BICYCLE THEFT.
2022,10,24,"1 SPADINA CRESCENT, TORONTO",POLICE ASSISTANCE,PARTY WAS PROVIDED ASSISTANCE.
2022,10,24,"7 HART HOUSE CIRCLE, TORONTO",THEFT,REPORT OF A THEFT FROM A LOCKER (LOCK DEFEATED).
2022,10,24,"130 ST. GEORGE STREET, TORONTO",SUSPICIOUS PERSON,REPORT OF A SUSPICIOUS PERSON.  PARTY GONE PRIOR TO OFFICERS ARRIVAL.
2022,10,24,"215 HURON STREET, TORONTO",TRESPASS TO PROPERTY ACT,REPORT OF A PERSONS REFUSING TO LEAVE; PARTY WAS GONE PRIOR TO OFFICERS ARRIVAL.
2022,10,24,"80 ST. GEORGE STREET, TORONTO",911 HANG UP,REPORT OF A 911 CALL; ALL IN ORDER (ACCIDENTAL CALL)
2022,10,24,"10 KING'S COLLEGE ROAD, TORONTO",THEFT,REPORT OF A BICYCLE THEFT.
2022,10,24,"9 KING'S COLLEGE CIRCLE, TORONTO",THEFT,REPORT OF LAPTOP THEFT.
2022,10,24,"1 KING'S COLLEGE CIRCLE, TORONTO",MEDICAL,REPORT OF A PERSON REQUIRING MEDICAL AID.  TORONTO PARAMEDICS PROVIDED AID.
2022,10,23,"55 HARBORD STREET, TORONTO",PERSON WELL-BEING CHECK,CONCERN FOR A PERSONS WELL-BEING; ALL IN ORDER.
2022,10,23,"105 ST. GEORGE STREET, TORONTO",SUSPICIOUS PERSON,REPORT OF A SUSPICIOUS PERSON; PARTY LEFT WHEN DIRECTED BY OFFICERS.
2022,10,23,"6 HOSKIN AVENUE, TORONTO",UNWANTED PERSON,REPORT OF UNWANTED PERSONS; PARTIES LEFT PRIOR TO ARRIVAL.
2022,10,23,"130 ST. GEORGE STREET, TORONTO",UNWANTED PERSON,REPORT OF AN UNWANTED PERSONS; CALL CANCELLED BY COMPLAINANT.
2022,10,23,"299 BLORR STREET WEST, TORONTO",THEFT,THEFT OF BICYCLE PARTS WAS REPORTED.
2022,10,23,"100 COLLEGE STREET, TORONTO",UNWANTED PERSON,REPORTS OF UNWANTED PERSONS; PARTIES LEFT PRIOR TO OFFICERS ARRIVAL.
2022,10,23,OFF CAMPUS,MOTOR VEHICLE COLLISION,REPORT OF A MOTOR VEHICLE COLLISION; TORONTO POLICE SERVICE INVESTIGATED.
2022,10,23,"10 KING'S COLLEGE ROAD, TORONTO",INSECURE PREMISES,REPORT OF AN INSECURE PREMISES; ALL APPEARED IN ORDER.
2022,10,23,"45 WILLCOCKS STREET, TORONTO",POLICE ASSISTANCE,PERSONS REQUESTING POLICE ASSISTANCE; ALL IN ORDER.
2022,10,23,"100 ST. GEORGE STREET, TORONTO",INSECURE PREMISES,REPORT OF AN INSECURE PREMISES; OFFICERS INVESTIGATED AND DETERMINED ALL TO BE IN ORDER.
2022,10,23,"21 SUSSEX AVENUE, TORONTO",ASSIST OTHER AGENCY,OFFICERS ASSISTED OTHER AGENCY.
2022,10,22,"1 SPADINA CRESCENT, TORONTO",PROPERTY DAMAGE,REPORT OF PROPERTY DAMAGE.
2022,10,22,"81 ST. MARY STREET, TORONTO",LIQUOR LICENCE ACT,REPORT OF AN INTOXICATED PERSON.
2022,10,22,"105 ST. GEORGE STREET, TORONTO",POLICE INFORMATION,REPORT OF UNWELCOME CONTACT; PERSONS PROVIDED COMMUNITY SERVICES.
2022,10,22,"130 ST. GEORGE STREET, TORONTO",SMOKE FREE ONTARIO,REPORT OF A SMOKE FREE ONTARIO ACT VIOLATION; PARTY LEFT AREA.
2022,10,22,OFF CAMPUS,SUSPICIOUS PACKAGE, REPORT OF A SUSPICIOUS PACKAGE; ALL IN ORDER.
2022,10,22,"124 EDWARD STREET, TORONTO",SUSPICIOUS PERSON, REPORT OF A SUSPICIOUS PERSON; PARTY WAS GONE UPON OFFICERS ARRIVAL.
2022,10,22,"1 SPADINA CRESCENT, TORONTO",UNWANTED PERSON,REPORT OF AN UNWANTED PERSON; PARTY LEFT WHEN DIRECTED.
2022,10,22,"1 SPADINA CRESCENT, TORONTO",POLICE INFORMATION,REPORT OF UNWELCOME CONTACT/COMMUNICATION; RESOURCES PROVIDED.
2022,10,22,"10 KING'S COLLEGE ROAD, TORONTO",INSECURE PREMISES,REPORT OF AN INSECURE PREMISES; ALL IN ORDER.
2022,10,21,"5 BANCROFT AVENUE, TORONTO",INSECURE PREMISES,REPORT OF AN INSECURE PREMISES. 
2022,10,21,OFF CAMPUS,POLICE INFORMATION,REPORT OF FAKE DIPLOMAS BEING SOLD ONLINE.
2022,10,21,"55 HARBORD STREET, TORONTO",THEFT,REPORT OF A THEFT FROM AN UNLOCKED LOCKER.
2022,10,21,OFF CAMPUS,PERSON WELL-BEING CHECK,REPORT OF A CONCERN FOR A PERSONS WELL-BEING;  PARTY WAS ABLE TO CARE FOR THEMSELVES.
2022,10,21,OFF CAMPUS,POLICE INFORMATION,REPORT OF HARASSMENT BY A 3RD PARTY.
2022,10,21,"89 CHESTNUT STREET, TORONTO",SUSPICIOUS VEHICLE,REPORT OF A SUSPICIOUS VEHICLE;  ALL IN ORDER.
2022,10,21,"70 ST. JOSEPH STREET, TORONTO",SUSPICIOUS INCIDENT,REPORT OF A SUSPICIOUS INCIDENT; INVESTIGATION CLOSED BY OFFICERS.
2022,10,21,"100 ST. GEORGE STREET, TORONTO",PROTEST,REPORT OF A PROTEST.
2022,10,21,"6 HOSKIN AVENUE, TORONTO",SUSPICIOUS CIRCUMSTANCES,REPORT OF SUSPICIOUS CIRCUMSTANCES; COMMUNITY SERVICES PROVIDED.
2022,10,20,"45 WILLCOCKS STREET, TORONTO",SUSPICIOUS PERSON,REPORT OF A SUSPICIOUS PERSON; ALL IN ORDER.
2022,10,20,"9 KING'S COLLEGE CIRCLE, TORONTO",MEDICAL,MEDICAL AID REFUSED BY PARTY.
2022,10,20,"17 GLEN MORRIS STREET, TORONTO",TRESPASS TO PROPERTY ACT,REPORT OF PERSONS ENGAGING IN PROHIBITED ACT; PARTIES LEFT PRIOR TO OFFICERS ARRIVAL.
2022,10,20,"21 SUSSEX AVENUE, TORONTO",POLICE INFORMATION,CAMPUS SAFETY NOTIFIED OF UPCOMING PROTEST.
2022,10,20,"30 CHARLES STREET WEST, TORONTO",POLICE ASSISTANCE,TORONTO POLICE SERVICE REQUESTING ASSISTANCE WITH AN ACTIVE INVESTIGATION.
2022,10,20,"105 ST. GEORGE STREET, TORONTO",THEFT,ELECTRONICS REPORTED STOLEN.
2022,10,20,"40 ST. GEORGE STREET, TORONTO",POLICE INFORMATION,PERSON REPORTED CONCERNS REGARDING SOCIAL MEDIA POSTS.
2022,10,20,"71 PRINCE ARTHUR AVENUE, TORONTO",MISCHIEF,REPORT OF MISCHIEF (PROPERTY DAMAGE).
2022,10,20,"40 ST. GEORGE STREET, TORONTO",UNWANTED PERSONS,REPORT OF AN UNWANTED PERSON.  ALL IN ORDER.
2022,10,20,"85 CHARLES STREET WEST, TORONTO",SUSPICIOUS PERSON,REPORT OF A SUSPICIOUS PERSON.
2022,10,20,"55 HARBORD STREET, TORONTO",MEDICAL,TORONTO PARAMEDIC SERVICES TRANSPORTED PARTY TO HOSPITAL.
2022,10,20,"55 HARBORD STREET, TORONTO",THEFT,NON-COMMUNITY MEMBER ARRESTED FOR THEFT.
2022,10,19,"255 MCCAUL STREET, TORONTO",MEDICAL,REPORT OF A PERSON REQUIRING MEDICAL AID; PARAMEDICS PROVIDED AID TO PARTY.
2022,10,19,"214 COLLEGE STREET, TORONTO",THEFT,REPORT OF SHOPLIFTING.
2022,10,19,"35 CHARLES STREET WEST, TORONTO",UNKNOWN TROUBLE,REPORT OF A PERSON SCREAMING OUTSIDE; OFFICERS INVESTIGATED AND DETERMINED NO ONE IN DISTRESS.
2022,10,19,"89 CHESTNUT STREET, TORONTO",THEFT,REPORT OF A CELLPHONE THEFT.
2022,10,19,"111 ST. GEORGE STREET, TORONTO",THEFT,REPORT OF A BICYCLE THEFT.
2022,10,19,"55 HARBORD STREET, TORONTO",THEFT,REPORT OF A THEFT FROM A LOCKER.
2022,10,19,"2 SUSSEX AVENUE, TORONTO",SUSPICIOUS PERSON,REPORT OF A SUSPICIOUS PERSON; PARTY LEFT AREA PRIOR TO OFFICERS ARRIVAL.
2022,10,19,OFF CAMPUS,FRAUD,REPORT OF A COMPROMISED PERSONAL BANK ACCOUNT.
2022,10,19,"130 ST. GEORGE STREET, TORONTO",SUSPICIOUS INCIDENT,REPORT OF A CONCERN; ALL IN ORDER.
2022,10,19,"35 CHARLES STREET WEST, TORONTO",TRESPASS TO PROPERTY ACT,REPORT OF A PERSON TRESPASSING; PARTY LEFT WHEN DIRECTED.
2022,10,19,"321 BLOOR STREET WEST, TORONTO",DRUG PARAPHANALIA,REPORT OF DRUG PARAPHANALIA; DISPOSED OF BY OFFICERS.
2022,10,19,"45 WILLCOCKS STREET, TORONTO",TRESPASS TO PROPERTY ACT,NON-COMMUNITY MEMBERS TRESPASSED BY OFFICERS.
2022,10,18,"55 HARBORD STREET, TORONTO",THEFT,REPORT OF AN ELECTRIC SCOOTER.
2022,10,18,PHILOSPHER'S WALK,SUSPICIOUS CIRCUMSTANCES,REPORT OF A SUSPCIOUS CIRCUMSTANCES; ALL IN ORDER.
2022,10,18,"80 ST. GEORGE STREET, TORONTO",THEFT,REPORT OF A BICYCLE THEFT.
2022,10,18,"100 ST. GEORGE STREET, TORONTO",PROTEST,ANTI-ABORTION PROTEST REPORTED ADJACENT TO CAMPUS.
2022,10,18,"100 ST. GEORGE STREET, TORONTO",SUSPICIOUS PERSON,REPORT OF A SUSPICIOUS PERSON; PARTY LEFT AREA WHEN DIRECTED.
2022,10,18,OFF CAMPUS,POLICE INFORMATION,STUDENT REQUESTING ASSISTANCE AND PROVIDED RESOURCES.
2022,10,18,"130 ST. GEORGE STREET, TORONTO",SUSPICIOUS PERSON,REPORT OF SUSPICIOUS PERSONS WITH POWER TOOLS;  PARTIES GONE PRIOR TO OFFICERS ARRIVAL.
2022,10,18,"10 KING'S COLLEGE ROAD, TORONTO",SUSPICIOUS INCIDENT,REPORT OF A SUSPICIOUS INCIDENT; ALL IN ORDER.
2022,10,18,"21 SUSSEX AVENUE, TORONTO",FRAUD,REPORT OF FRAUD (JOB SCAM).
2022,10,18,"21 SUSSEX AVENUE, TORONTO",POLICE ASSISTANCE,STUDENT PROVIDED RESOURCES BY OFFICERS.
2022,10,17,"85 ST. GEORGE STREET, TORONTO",ANIMAL COMPLAINT,REPORT OF A DOG OFF LEASH.
2022,10,17,"725 SPADINA AVENUE, TORONTO",TRESPASS TO PROPERTY ACT,REPORT OF A PERSON TRESPASSING; PARTY LEFT WHEN DIRECTED BY OFFICERS.
2022,10,17,"30 CHARLES STREET WEST, TORONTO",DISPUTE,REPORT OF A DISPUTE; PARTIES WERE PROVIDED RESOURCES (NO THREATS/VIOLENCE/SAFETY CONCERNS).
2022,10,17,"55 HARBORD STREET, TORONTO",THEFT,REPORT OF A SCOOTER THEFT.
2022,10,17,"55 HARBORD STREET, TORONTO",MISCHIEF,REPORT OF MISCHIEF (GRAFFITI).
2022,10,17,"7 HART HOUSE CIRCLE, TORONTO",THEFT,REORT OF A THEFT FROM A LOCKER.
2022,10,17,"80 QUEEN'S PARK, TORONTO",UNWANTED PERSONS,REPORT OF AN UNWANTED PERSON; PARTY LEFT ON HIS OWN ACCORD.
2022,10,17,"21 SUSSEX AVENUE, TORONTO",HARASSMENT,CONTINUED HARASSMENT INVESTIGATION.
2022,10,17,"35 CHARLES STREET WEST, TORONTO",SUSPICIOUS PERSON,REPORT OF A SUSPICIOUS PERSON ACTING ODDLY.  PARTY WAS ESCORTED OFF PROPERTY WITHOUT INCIDENT &amp; ABLE TO CARE FOR THEMSELVES.
2022,10,16,"24 KING'S COLLEGE CIRCLE, TORONTO",TRESPASS TO PROPERTY ACT,REPORT OF A PERSON TRESPASSING; PARTY WAS GONE UPON OFFICERS ARRIVAL.
2022,10,16,"21 CLASSIC AVENUE, TORONTO",FIRE ALARM,OFFICERS RESPONDED TO A FIRE ALARM; DEEMED FALSE ALARM BY TFS.
2022,10,16,"78 QUEEN'S PARK, TORONTO",UNWANTED PERSONS,REPORT OF AN UNWANTED PERSON; ALL IN ORDER AND PARTY WAS ABLE TO CARE FOR THEMSELVES.
2022,10,16,"144 COLLEGE STREET, TORONTO",UWNANTED PERSON,REPORT OF AN UNWANTED PERSON; PARTY HAS LEFT THE AREA WITHOUT DIRECTION.
2022,10,16,"21 SUSSEX AVENUE, TORONTO",POLICE ASSISTANCE,STUDENT PROVIDED ASSISTANCE FROM OFFICERS.
2022,10,16,"170 ST. GEORGE STREET, TORONTO",TRESPASS TO PROPERTY ACT,REPORT OF A PERSON LOITERING; PARTY LEFT PRIOR TO OFFICERS ARRIVAL.
2022,10,15,"21 SUSSEX AVENUE, TORONTO",HARASSMENT,REPORT OF CONTINUED HARASSMENT; FOLLOW-UP.
2022,10,15,"30 CHARLES STREET WEST, TORONTO",TRESPASS TO PROPERTY ACT,REPORT OF A PERSON ENTERING WHEN ENTRY PROHIBITED; PARTY LEFT WHEN DIRECTED BY OFFICERS.
2022,10,15,"85 ST. GEORGE STREET, TORONTO",911 HANG UP,TPS REQUESTED ASSISTANCE WITH A 911 HANG UP CALL; NO EMERGENCY FOUND.
2022,10,14,"78 QUEEN'S PARK, TORONTO",MISCHIEF,REPORT OF A MISCHIEF TO MOTOR VEHICLE.
2022,10,14,"321 BLOOR STREET WEST, TORONTO",PROTEST,REPORT OF ANTI-ABORTION PROTEST LOCATED OFF PROPERTY ON CITY SIDEWALK.
2022,10,14,"369 HURON STREET, TORONTO",MISCHIEF,REPORT OF MISCHIEF (GRAFFITI).
2022,10,14,"369 HURON STREET, TORONTO",MEDICAL,REPORT OF A MEDICAL; PARTY TRANSPORTED BY PARAMEDICS TO HOSPITAL.
2022,10,14,"255 MCCAUL STREET, TORONTO",SUSPICIOUS PERSON,REPORT OF A SUSPICIOUS PERSON POTENTIALLY ATTEMPTING TO STEAL A BICYCLE.  ALL APEARED IN ORDER.
2022,10,14,"41 WILLCOCKS STREET, TORONTO",THEFT,REPORT OF THEFT OF PERSONAL PROPERTY.
2022,10,14,"55 HARBORD STREET, TORONTO",THEFT,REPORT OF A JACKET THEFT.
2022,10,14,"229 COLLEGE STREET, TORONTO",UNWANTED PERSONS,REPORT OF PERSONS ON A ROOF.
2022,10,14,"15 KING'S COLLEGE CIRCLE, TORONTO",INSECURE PREMISES,REPORT OF AN INSECURE PREMISES.
2022,10,14,"75 ST. GEORGE STREET, TORONTO",SUSPICIOUS INCIDENT,REPORT OF POSSIBLE PERSON IN DISTRESS; UNFOUNDED.
2022,10,13,Robarts Library - 130 St. George Street,THEFT,A report of a theft of scooter.
2022,10,13,35 Charles Street West,UNWANTED PERSON,A report of an unwanted person. Left when directed.
2022,10,13,89 Chestnut Street,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,10,13,Warren Stevens - 55 Harbord Street,PERSON WELL-BEING CHECK,A request for a wellbeing check. Individual able to care for themselves.
2022,10,13,Off Campus,FRAUD,A report of a fake job posting.
2022,10,13,Hart House - 7 Hart House Circle,BREAK AND ENTER,A report of a break and enter.
2022,10,13,University College - 15 King's College Circle,THEFT,A report of a theft.
2022,10,13,Warren Stevens - 55 Harbord Street,THEFT,A report of a theft from locker.
2022,10,13,Innis College - 2 Sussex Avenue,THEFT,A report of a theft of scooter.
2022,10,12,Teefy Hall - 57 Queen's Park Crescent,UNWANTED PERSON,A report of an unwanted person. Left prior to officer arrival.
2022,10,12,Pratt Library - 71 Queen's Park Crescent,UNWANTED PERSON,A report of an unwanted person. Left upon arrival.
2022,10,12,Pratt Library - 71 Queen's Park Crescent,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,10,12,158 St. George Street,PERSON WELL-BEING CHECK,A request for a wellbeing check. Individual able to care for themselves.
2022,10,12,Daniel's Architecture - One Spadina Crescent,UNWANTED PERSON,A report of an unwanted person. Left prior to officer arrival.
2022,10,12,Myhal - 55 St. George Street,FALSE ALARM OF FIRE,A report of a fire alarm. Pull station activated.
2022,10,11,Off Campus,FRAUD,A report of fraud via telephone.
2022,10,11,162 St George Street,UNWANTED PERSON,A report of an unwanted person. Left prior to officer arrival.
